year,rate
1939,23.39999962
1940,23.29999924
1941,24.29999924
1942,26.79999924
1943,28.20000076
1944,28.5
1945,28.89999962
1946,31.10000038
1947,35.29999924
1948,37.79999924
1949,37.09999847
1950,37.20000076
1951,39.90000153
1952,40.29999924
1953,40.20000076
1954,40.29999924
1955,39.79999924
1956,40.09999847
1957,41.09999847
1958,41.90000153
1959,41.90000153
1960,42.20000076
1961,42.29999924
1962,42.40000153
1963,42.59999847
1964,42.90000153
1965,43.20000076
1966,44.09999847
1967,45.09999847
1968,46.5
1969,48.20000076
1970,50.20000076
1971,52
1972,53.09999847
1973,56.09999847
1974,61.20000076
1975,65.69999695
1976,69
1977,72.80000305
1978,77.19999695
1979,84
1980,92.69999695
1981,100.6999969
1982,106
1983,109.6999969
1984,113.3000031
1985,116.3000031
1986,117.4000015
1987,120.5
1988,123.9000015
1989,128.3000031
1990,133.6999969
1991,137.3999939
1992,139.8000031
1993,142.1000061
1994,144
1995,146.3000031
1996,149
1997,151.1000061
1998,152
1999,153.8999939
2000,157.8999939
2001,161
2002,162.3000031
2003,164.6999969
2004,167.8000031
2005,172.1000061
2006,176.3000031
2007,179.8999939
2008,185.3999939
2009,183.1999969
2010,184.8000031
2011,189.1000061
2012,191.6000061
2013,192.8999939
2014,194.5
2015,196.6000061